Parametr,Wartość
Średnia,2555.5659
Średnia geometryczna,2505.4551
Średnia harmoniczna,2458.0032
Mediana,2414.0000
Moda,2385
Wariancja (próbkowa),271107.8743
Wariancja (populacyjna),269785.3969
Odchylenie standardowe (próbkowe),520.6802
Odchylenie standardowe (populacyjne),519.4087
Odchylenie przeciętne,428.2680
Odchylenie ćwiartkowe,395.0000
Współczynnik zmienności,20.3744
Skośność,0.6814
Współczynnik asymetrii Pearsona,0.8157
Kurtoza,-0.0429
Eksces,-0.0429
Minimum,1488
Maximum,4066
Zakres,2578
Q1 (25%),2145.0000
Q2 (50%),2414.0000
Q3 (75%),2935.0000
P10 (10%),1947.0000
P90 (90%),3230.0000
P95 (95%),3503.0000
P99 (99%),3948.0000
IQR,790.0000
Błąd standardowy średniej,36.3659
Suma,523891
Liczba obserwacji,205.0000
Liczba unikalnych wartości,171.0000
Moment centralny rzędu 1,0.0000
Moment centralny rzędu 2,269785.3969
Moment centralny rzędu 3,94783481.3305
Moment centralny rzędu 4,213189035998.8497
