Parametr,Wartość
Średnia,13150.3073
Średnia geometryczna,11475.3282
Średnia harmoniczna,10288.2005
Mediana,10295.0000
Moda,10295.0000
Wariancja (próbkowa),62080552.8708
Wariancja (populacyjna),61777720.9056
Odchylenie standardowe (próbkowe),7879.1213
Odchylenie standardowe (populacyjne),7859.8805
Odchylenie przeciętne,5768.7215
Odchylenie ćwiartkowe,4356.0000
Współczynnik zmienności,59.9159
Skośność,1.8410
Współczynnik asymetrii Pearsona,1.0872
Kurtoza,3.3749
Eksces,3.3749
Minimum,5118.0000
Maximum,45400.0000
Zakres,40282.0000
Q1 (25%),7788.0000
Q2 (50%),10295.0000
Q3 (75%),16500.0000
P10 (10%),6657.0000
P90 (90%),22289.2000
P95 (95%),32472.4000
P99 (99%),40802.7200
IQR,8712.0000
Błąd standardowy średniej,550.3017
Suma,2695813.0000
Liczba obserwacji,205.0000
Liczba unikalnych wartości,186.0000
Moment centralny rzędu 1,-0.0000
Moment centralny rzędu 2,61777720.9056
Moment centralny rzędu 3,887361852558.2919
Moment centralny rzędu 4,23906411503010172.0000
